DATE,CLOSE
1/1/2021,3342.2272
1/2/2021,3368.3117
1/3/2021,3367.7892
1/4/2021,3347.6665
1/5/2021,3363.9014
1/6/2021,3358.2716
1/7/2021,3334.4954
1/8/2021,3317.6241
1/9/2021,3319.9122
1/10/2021,3319.4455
1/11/2021,3326.3563
1/12/2021,3339.3653
1/13/2021,3329.2891
1/14/2021,3354.8891
1/15/2021,3364.0808
1/16/2021,3364.4509
1/17/2021,3375.9042
1/18/2021,3387.9606
1/19/2021,3364.4923
1/20/2021,3373.2051
1/21/2021,3365.6849
1/22/2021,3383.2878
1/23/2021,3396.2924
1/24/2021,3413.4868
1/25/2021,3436.275
1/26/2021,3435.8042
1/27/2021,3421.7131
1/28/2021,3440.9331
1/29/2021,3421.4419
1/30/2021,3471.3926
1/31/2021,3482.823
2/1/2021,3489.7567
2/2/2021,3473.3236
2/3/2021,3473.8517
2/4/2021,3446.2228
2/5/2021,3452.8103
2/6/2021,3458.4376
2/7/2021,3435.0963
2/8/2021,3427.8628
2/9/2021,3446.484
2/10/2021,3453.9565
2/11/2021,3448.7313
2/12/2021,3426.9438
2/13/2021,3427.8916
2/14/2021,3458.098
2/15/2021,3456.6934
2/16/2021,3463.6436
2/17/2021,3481.5066
2/18/2021,3445.8051
2/19/2021,3449.6126
2/20/2021,3466.3468
2/21/2021,3450.0502
2/22/2021,3461.9782
2/23/2021,3489.5997
2/24/2021,3478.0385
2/25/2021,3469.8093
2/26/2021,3465.1933
2/27/2021,3436.758
2/28/2021,3456.0455
3/1/2021,3503.8932
3/2/2021,3514.0469
3/3/2021,3517.4634
3/4/2021,3505.1392
3/5/2021,3517.328
3/6/2021,3509.4387
3/7/2021,3514.5662
3/8/2021,3486.5045
3/9/2021,3479.9417
3/10/2021,3462.7429
3/11/2021,3445.8761
3/12/2021,3461.5481
3/13/2021,3466.7865
3/14/2021,3431.2587
3/15/2021,3440.9743
3/16/2021,3445.1832
3/17/2021,3446.7202
3/18/2021,3439.753
3/19/2021,3426.5766
3/20/2021,3413.1282
3/21/2021,3404.3864
3/22/2021,3382.5502
3/23/2021,3358.8125
3/24/2021,3352.5324
3/25/2021,3337.7007
3/26/2021,3356.6459
3/27/2021,3385.3787
3/28/2021,3399.1937
3/29/2021,3428.6491
3/30/2021,3409.9656
3/31/2021,3398.1127
4/1/2021,3403.8492
4/2/2021,3411.2387
4/3/2021,3424.194
4/4/2021,3424.1669
4/5/2021,3485.6581
4/6/2021,3480.4345
4/7/2021,3492.8845
4/8/2021,3497.7382
4/9/2021,3486.5074
4/10/2021,3468.7538
4/11/2021,3492.8816
4/12/2021,3533.8718
4/13/2021,3560.9786
4/14/2021,3576.1703
4/15/2021,3574.3894
4/16/2021,3582.2674
4/17/2021,3535.2987
4/18/2021,3528.7926
